Accession,Species,Length,Geo_Location,Host
MT451770,Severe acute respiratory syndrome-related coronavirus,29813,Australia: Victoria,Homo sapiens
MT451771,Severe acute respiratory syndrome-related coronavirus,29813,Australia: Victoria,Homo sapiens
MT451772,Severe acute respiratory syndrome-related coronavirus,29813,Australia: Victoria,Homo sapiens
MT451773,Severe acute respiratory syndrome-related coronavirus,29782,Australia: Victoria,Homo sapiens
MT451774,Severe acute respiratory syndrome-related coronavirus,29782,Australia: Victoria,Homo sapiens
MT451775,Severe acute respiratory syndrome-related coronavirus,29813,Australia: Victoria,Homo sapiens
MT451776,Severe acute respiratory syndrome-related coronavirus,29814,Australia: Victoria,Homo sapiens
MT451777,Severe acute respiratory syndrome-related coronavirus,29838,Australia: Victoria,Homo sapiens
MT451778,Severe acute respiratory syndrome-related coronavirus,29814,Australia: Victoria,Homo sapiens
MT451779,Severe acute respiratory syndrome-related coronavirus,29815,Australia: Victoria,Homo sapiens
MT451780,Severe acute respiratory syndrome-related coronavirus,29812,Australia: Victoria,Homo sapiens
MT451781,Severe acute respiratory syndrome-related coronavirus,29805,Australia: Victoria,Homo sapiens
MT451782,Severe acute respiratory syndrome-related coronavirus,29802,Australia: Victoria,Homo sapiens
MT451783,Severe acute respiratory syndrome-related coronavirus,29802,Australia: Victoria,Homo sapiens
MT451784,Severe acute respiratory syndrome-related coronavirus,29797,Australia: Victoria,Homo sapiens
MT451785,Severe acute respiratory syndrome-related coronavirus,29802,Australia: Victoria,Homo sapiens
MT451786,Severe acute respiratory syndrome-related coronavirus,29834,Australia: Victoria,Homo sapiens
MT451787,Severe acute respiratory syndrome-related coronavirus,29782,Australia: Victoria,Homo sapiens
MT451788,Severe acute respiratory syndrome-related coronavirus,29797,Australia: Victoria,Homo sapiens
MT451789,Severe acute respiratory syndrome-related coronavirus,29785,Australia: Victoria,Homo sapiens
MT451790,Severe acute respiratory syndrome-related coronavirus,29797,Australia: Victoria,Homo sapiens
MT451791,Severe acute respiratory syndrome-related coronavirus,29789,Australia: Victoria,Homo sapiens
MT451792,Severe acute respiratory syndrome-related coronavirus,29804,Australia: Victoria,Homo sapiens
MT451793,Severe acute respiratory syndrome-related coronavirus,29812,Australia: Victoria,Homo sapiens
MT451794,Severe acute respiratory syndrome-related coronavirus,29798,Australia: Victoria,Homo sapiens
MT451795,Severe acute respiratory syndrome-related coronavirus,29799,Australia: Victoria,Homo sapiens
MT451796,Severe acute respiratory syndrome-related coronavirus,29812,Australia: Victoria,Homo sapiens
MT451797,Severe acute respiratory syndrome-related coronavirus,29812,Australia: Victoria,Homo sapiens
MT451798,Severe acute respiratory syndrome-related coronavirus,29632,Australia: Victoria,Homo sapiens
MT451799,Severe acute respiratory syndrome-related coronavirus,29810,Australia: Victoria,Homo sapiens
MT451800,Severe acute respiratory syndrome-related coronavirus,29793,Australia: Victoria,Homo sapiens
MT451801,Severe acute respiratory syndrome-related coronavirus,29796,Australia: Victoria,Homo sapiens
MT451802,Severe acute respiratory syndrome-related coronavirus,29798,Australia: Victoria,Homo sapiens
MT451803,Severe acute respiratory syndrome-related coronavirus,29810,Australia: Victoria,Homo sapiens
MT451804,Severe acute respiratory syndrome-related coronavirus,29802,Australia: Victoria,Homo sapiens
MT451805,Severe acute respiratory syndrome-related coronavirus,29804,Australia: Victoria,Homo sapiens
MT451806,Severe acute respiratory syndrome-related coronavirus,29783,Australia: Victoria,Homo sapiens
MT451807,Severe acute respiratory syndrome-related coronavirus,29780,Australia: Victoria,Homo sapiens
MT451808,Severe acute respiratory syndrome-related coronavirus,29799,Australia: Victoria,Homo sapiens
MT451809,Severe acute respiratory syndrome-related coronavirus,29803,Australia: Victoria,Homo sapiens
MT451810,Severe acute respiratory syndrome-related coronavirus,29804,Australia: Victoria,Homo sapiens
MT451811,Severe acute respiratory syndrome-related coronavirus,29787,Australia: Victoria,Homo sapiens
MT451812,Severe acute respiratory syndrome-related coronavirus,29812,Australia: Victoria,Homo sapiens
MT451813,Severe acute respiratory syndrome-related coronavirus,29800,Australia: Victoria,Homo sapiens
MT451814,Severe acute respiratory syndrome-related coronavirus,29787,Australia: Victoria,Homo sapiens
MT451815,Severe acute respiratory syndrome-related coronavirus,29804,Australia: Victoria,Homo sapiens
MT451816,Severe acute respiratory syndrome-related coronavirus,29792,Australia: Victoria,Homo sapiens
MT451817,Severe acute respiratory syndrome-related coronavirus,29802,Australia: Victoria,Homo sapiens
MT451818,Severe acute respiratory syndrome-related coronavirus,29801,Australia: Victoria,Homo sapiens
MT451819,Severe acute respiratory syndrome-related coronavirus,29790,Australia: Victoria,Homo sapiens
MT451820,Severe acute respiratory syndrome-related coronavirus,29797,Australia: Victoria,Homo sapiens
MT451821,Severe acute respiratory syndrome-related coronavirus,29782,Australia: Victoria,Homo sapiens
MT451822,Severe acute respiratory syndrome-related coronavirus,29782,Australia: Victoria,Homo sapiens
MT451823,Severe acute respiratory syndrome-related coronavirus,29757,Australia: Victoria,Homo sapiens
MT451824,Severe acute respiratory syndrome-related coronavirus,29804,Australia: Victoria,Homo sapiens
MT451825,Severe acute respiratory syndrome-related coronavirus,29804,Australia: Victoria,Homo sapiens
MT451826,Severe acute respiratory syndrome-related coronavirus,29796,Australia: Victoria,Homo sapiens
MT451827,Severe acute respiratory syndrome-related coronavirus,29777,Australia: Victoria,Homo sapiens
MT451828,Severe acute respiratory syndrome-related coronavirus,29787,Australia: Victoria,Homo sapiens
MT451829,Severe acute respiratory syndrome-related coronavirus,29789,Australia: Victoria,Homo sapiens
MT451830,Severe acute respiratory syndrome-related coronavirus,29804,Australia: Victoria,Homo sapiens
MT451831,Severe acute respiratory syndrome-related coronavirus,29806,Australia: Victoria,Homo sapiens
MT451832,Severe acute respiratory syndrome-related coronavirus,29791,Australia: Victoria,Homo sapiens
MT451833,Severe acute respiratory syndrome-related coronavirus,29786,Australia: Victoria,Homo sapiens
MT451834,Severe acute respiratory syndrome-related coronavirus,29786,Australia: Victoria,Homo sapiens
MT451835,Severe acute respiratory syndrome-related coronavirus,29786,Australia: Victoria,Homo sapiens
MT451836,Severe acute respiratory syndrome-related coronavirus,29789,Australia: Victoria,Homo sapiens
MT451837,Severe acute respiratory syndrome-related coronavirus,29796,Australia: Victoria,Homo sapiens
MT451838,Severe acute respiratory syndrome-related coronavirus,29788,Australia: Victoria,Homo sapiens
MT451839,Severe acute respiratory syndrome-related coronavirus,29786,Australia: Victoria,Homo sapiens
MT451840,Severe acute respiratory syndrome-related coronavirus,29789,Australia: Victoria,Homo sapiens
MT451841,Severe acute respiratory syndrome-related coronavirus,29811,Australia: Victoria,Homo sapiens
MT451842,Severe acute respiratory syndrome-related coronavirus,29797,Australia: Victoria,Homo sapiens
MT451874,Severe acute respiratory syndrome-related coronavirus,29801,India: Surat,Homo sapiens
MT451875,Severe acute respiratory syndrome-related coronavirus,29801,India: Surat,Homo sapiens
MT451876,Severe acute respiratory syndrome-related coronavirus,29798,India: Surat,Homo sapiens
MT451877,Severe acute respiratory syndrome-related coronavirus,29801,India: Surat,Homo sapiens
MT451878,Severe acute respiratory syndrome-related coronavirus,29801,India: Surat,Homo sapiens
MT451879,Severe acute respiratory syndrome-related coronavirus,29801,India: Surat,Homo sapiens
MT451880,Severe acute respiratory syndrome-related coronavirus,29801,India: Surat,Homo sapiens
MT451881,Severe acute respiratory syndrome-related coronavirus,29801,India: Ahmedabad,Homo sapiens
MT451882,Severe acute respiratory syndrome-related coronavirus,29801,India: Ahmedabad,Homo sapiens
MT451883,Severe acute respiratory syndrome-related coronavirus,29801,India: Ahmedabad,Homo sapiens
MT451884,Severe acute respiratory syndrome-related coronavirus,29801,India: Ahmedabad,Homo sapiens
MT451885,Severe acute respiratory syndrome-related coronavirus,29801,India: Ahmedabad,Homo sapiens
MT451886,Severe acute respiratory syndrome-related coronavirus,29801,India: Ahmedabad,Homo sapiens
MT451887,Severe acute respiratory syndrome-related coronavirus,29801,India: Ahmedabad,Homo sapiens
MT451888,Severe acute respiratory syndrome-related coronavirus,29801,India: Ahmedabad,Homo sapiens
MT451889,Severe acute respiratory syndrome-related coronavirus,29801,India: Ahmedabad,Homo sapiens
MT451890,Severe acute respiratory syndrome-related coronavirus,29801,India: Ahmedabad,Homo sapiens
MT452574,Severe acute respiratory syndrome-related coronavirus,29898,USA: NY,Homo sapiens
MT452575,Severe acute respiratory syndrome-related coronavirus,29903,USA: WA,Homo sapiens
MT452576,Severe acute respiratory syndrome-related coronavirus,29873,USA: CA,Homo sapiens
MT444148,Severe acute respiratory syndrome-related coronavirus,29890,USA: CA,Homo sapiens
MT444515,Severe acute respiratory syndrome-related coronavirus,29804,USA,Homo sapiens
MT444516,Severe acute respiratory syndrome-related coronavirus,29786,USA,Homo sapiens
MT444517,Severe acute respiratory syndrome-related coronavirus,29797,USA,Homo sapiens
MT444518,Severe acute respiratory syndrome-related coronavirus,29797,USA,Homo sapiens
MT444519,Severe acute respiratory syndrome-related coronavirus,29788,USA,Homo sapiens
MT444520,Severe acute respiratory syndrome-related coronavirus,29832,USA,Homo sapiens
MT444521,Severe acute respiratory syndrome-related coronavirus,29788,USA,Homo sapiens
MT444522,Severe acute respiratory syndrome-related coronavirus,29786,USA,Homo sapiens
MT444523,Severe acute respiratory syndrome-related coronavirus,29825,USA,Homo sapiens
MT444524,Severe acute respiratory syndrome-related coronavirus,29796,USA,Homo sapiens
MT444525,Severe acute respiratory syndrome-related coronavirus,29782,USA,Homo sapiens
MT444526,Severe acute respiratory syndrome-related coronavirus,29786,USA,Homo sapiens
MT444527,Severe acute respiratory syndrome-related coronavirus,29786,USA,Homo sapiens
MT444528,Severe acute respiratory syndrome-related coronavirus,29796,USA,Homo sapiens
MT444529,Severe acute respiratory syndrome-related coronavirus,29786,USA,Homo sapiens
MT444530,Severe acute respiratory syndrome-related coronavirus,29824,USA,Homo sapiens
MT444531,Severe acute respiratory syndrome-related coronavirus,29788,USA,Homo sapiens
MT444532,Severe acute respiratory syndrome-related coronavirus,29797,USA,Homo sapiens
MT444533,Severe acute respiratory syndrome-related coronavirus,29808,USA,Homo sapiens
MT444534,Severe acute respiratory syndrome-related coronavirus,29863,USA,Homo sapiens
MT444535,Severe acute respiratory syndrome-related coronavirus,29786,USA,Homo sapiens
MT444536,Severe acute respiratory syndrome-related coronavirus,29886,USA,Homo sapiens
MT444537,Severe acute respiratory syndrome-related coronavirus,29788,USA,Homo sapiens
MT444538,Severe acute respiratory syndrome-related coronavirus,29864,USA,Homo sapiens
MT444539,Severe acute respiratory syndrome-related coronavirus,29892,USA,Homo sapiens
MT444540,Severe acute respiratory syndrome-related coronavirus,29861,USA,Homo sapiens
MT444541,Severe acute respiratory syndrome-related coronavirus,29863,USA,Homo sapiens
MT444542,Severe acute respiratory syndrome-related coronavirus,29864,USA,Homo sapiens
MT444543,Severe acute respiratory syndrome-related coronavirus,29864,USA,Homo sapiens
MT444544,Severe acute respiratory syndrome-related coronavirus,29788,USA,Homo sapiens
MT444545,Severe acute respiratory syndrome-related coronavirus,29899,USA,Homo sapiens
MT444546,Severe acute respiratory syndrome-related coronavirus,29891,USA,Homo sapiens
MT444547,Severe acute respiratory syndrome-related coronavirus,29863,USA,Homo sapiens
MT444548,Severe acute respiratory syndrome-related coronavirus,29881,USA,Homo sapiens
MT444549,Severe acute respiratory syndrome-related coronavirus,29864,USA,Homo sapiens
MT444550,Severe acute respiratory syndrome-related coronavirus,29872,USA,Homo sapiens
MT444551,Severe acute respiratory syndrome-related coronavirus,29864,USA,Homo sapiens
MT444552,Severe acute respiratory syndrome-related coronavirus,29810,USA,Homo sapiens
MT444553,Severe acute respiratory syndrome-related coronavirus,29864,USA,Homo sapiens
MT444554,Severe acute respiratory syndrome-related coronavirus,29864,USA,Homo sapiens
MT444555,Severe acute respiratory syndrome-related coronavirus,29800,USA,Homo sapiens
MT444556,Severe acute respiratory syndrome-related coronavirus,29787,USA,Homo sapiens
MT444557,Severe acute respiratory syndrome-related coronavirus,29786,USA,Homo sapiens
MT444558,Severe acute respiratory syndrome-related coronavirus,28864,USA,Homo sapiens
MT444559,Severe acute respiratory syndrome-related coronavirus,29625,USA,Homo sapiens
MT444560,Severe acute respiratory syndrome-related coronavirus,29796,USA,Homo sapiens
MT444561,Severe acute respiratory syndrome-related coronavirus,29828,USA,Homo sapiens
MT444562,Severe acute respiratory syndrome-related coronavirus,29788,USA,Homo sapiens
MT444563,Severe acute respiratory syndrome-related coronavirus,29776,USA,Homo sapiens
MT444564,Severe acute respiratory syndrome-related coronavirus,29892,USA,Homo sapiens
MT444565,Severe acute respiratory syndrome-related coronavirus,29804,USA,Homo sapiens
MT444566,Severe acute respiratory syndrome-related coronavirus,29796,USA,Homo sapiens
MT444567,Severe acute respiratory syndrome-related coronavirus,29893,USA,Homo sapiens
MT444568,Severe acute respiratory syndrome-related coronavirus,29794,USA,Homo sapiens
MT444569,Severe acute respiratory syndrome-related coronavirus,29864,USA,Homo sapiens
MT444570,Severe acute respiratory syndrome-related coronavirus,29891,USA,Homo sapiens
MT444571,Severe acute respiratory syndrome-related coronavirus,29819,USA,Homo sapiens
MT444572,Severe acute respiratory syndrome-related coronavirus,29886,USA,Homo sapiens
MT444573,Severe acute respiratory syndrome-related coronavirus,29896,USA,Homo sapiens
MT444574,Severe acute respiratory syndrome-related coronavirus,29797,USA,Homo sapiens
MT444575,Severe acute respiratory syndrome-related coronavirus,29831,USA,Homo sapiens
MT444576,Severe acute respiratory syndrome-related coronavirus,29855,USA,Homo sapiens
MT444577,Severe acute respiratory syndrome-related coronavirus,29893,USA,Homo sapiens
MT444578,Severe acute respiratory syndrome-related coronavirus,29898,USA,Homo sapiens
MT444579,Severe acute respiratory syndrome-related coronavirus,29728,USA,Homo sapiens
MT444580,Severe acute respiratory syndrome-related coronavirus,29796,USA,Homo sapiens
MT444581,Severe acute respiratory syndrome-related coronavirus,29895,USA,Homo sapiens
MT444582,Severe acute respiratory syndrome-related coronavirus,29863,USA,Homo sapiens
MT444583,Severe acute respiratory syndrome-related coronavirus,29797,USA,Homo sapiens
MT444584,Severe acute respiratory syndrome-related coronavirus,29881,USA,Homo sapiens
MT444585,Severe acute respiratory syndrome-related coronavirus,29861,USA,Homo sapiens
MT444586,Severe acute respiratory syndrome-related coronavirus,29891,USA,Homo sapiens
MT444587,Severe acute respiratory syndrome-related coronavirus,29796,USA,Homo sapiens
MT444588,Severe acute respiratory syndrome-related coronavirus,29625,USA,Homo sapiens
MT444589,Severe acute respiratory syndrome-related coronavirus,29836,USA,Homo sapiens
MT444590,Severe acute respiratory syndrome-related coronavirus,29842,USA,Homo sapiens
MT444591,Severe acute respiratory syndrome-related coronavirus,29799,USA,Homo sapiens
MT444592,Severe acute respiratory syndrome-related coronavirus,29892,USA,Homo sapiens
MT444593,Severe acute respiratory syndrome-related coronavirus,29810,USA,Homo sapiens
MT444594,Severe acute respiratory syndrome-related coronavirus,29796,USA,Homo sapiens
MT444595,Severe acute respiratory syndrome-related coronavirus,29794,USA,Homo sapiens
MT444596,Severe acute respiratory syndrome-related coronavirus,29796,USA,Homo sapiens
MT444597,Severe acute respiratory syndrome-related coronavirus,29892,USA,Homo sapiens
MT444598,Severe acute respiratory syndrome-related coronavirus,29898,USA,Homo sapiens
MT444599,Severe acute respiratory syndrome-related coronavirus,29867,USA,Homo sapiens
MT444600,Severe acute respiratory syndrome-related coronavirus,29897,USA,Homo sapiens
MT444601,Severe acute respiratory syndrome-related coronavirus,29796,USA,Homo sapiens
MT444602,Severe acute respiratory syndrome-related coronavirus,29801,USA,Homo sapiens
MT444603,Severe acute respiratory syndrome-related coronavirus,29810,USA,Homo sapiens
MT444604,Severe acute respiratory syndrome-related coronavirus,29796,USA,Homo sapiens
MT444605,Severe acute respiratory syndrome-related coronavirus,29899,USA,Homo sapiens
MT444606,Severe acute respiratory syndrome-related coronavirus,29864,USA,Homo sapiens
MT444607,Severe acute respiratory syndrome-related coronavirus,29899,USA,Homo sapiens
MT444608,Severe acute respiratory syndrome-related coronavirus,29863,USA,Homo sapiens
MT444609,Severe acute respiratory syndrome-related coronavirus,29815,USA,Homo sapiens
MT444610,Severe acute respiratory syndrome-related coronavirus,29802,USA,Homo sapiens
MT444611,Severe acute respiratory syndrome-related coronavirus,29855,USA,Homo sapiens
MT444612,Severe acute respiratory syndrome-related coronavirus,29835,USA,Homo sapiens
MT444613,Severe acute respiratory syndrome-related coronavirus,29814,USA,Homo sapiens
MT444614,Severe acute respiratory syndrome-related coronavirus,29797,USA,Homo sapiens
MT444615,Severe acute respiratory syndrome-related coronavirus,29865,USA,Homo sapiens
MT444616,Severe acute respiratory syndrome-related coronavirus,29803,USA,Homo sapiens
MT444617,Severe acute respiratory syndrome-related coronavirus,29797,USA,Homo sapiens
MT444618,Severe acute respiratory syndrome-related coronavirus,29830,USA,Homo sapiens
MT444619,Severe acute respiratory syndrome-related coronavirus,29852,USA,Homo sapiens
MT444620,Severe acute respiratory syndrome-related coronavirus,29833,USA,Homo sapiens
MT444621,Severe acute respiratory syndrome-related coronavirus,29838,USA,Homo sapiens
MT444622,Severe acute respiratory syndrome-related coronavirus,29803,USA,Homo sapiens
MT444623,Severe acute respiratory syndrome-related coronavirus,29846,USA,Homo sapiens
MT444624,Severe acute respiratory syndrome-related coronavirus,29848,USA,Homo sapiens
MT444625,Severe acute respiratory syndrome-related coronavirus,29846,USA,Homo sapiens
MT444626,Severe acute respiratory syndrome-related coronavirus,29840,USA,Homo sapiens
MT444627,Severe acute respiratory syndrome-related coronavirus,29796,USA,Homo sapiens
MT444628,Severe acute respiratory syndrome-related coronavirus,29837,USA,Homo sapiens
MT444629,Severe acute respiratory syndrome-related coronavirus,29811,USA,Homo sapiens
MT444630,Severe acute respiratory syndrome-related coronavirus,29800,USA,Homo sapiens
MT444631,Severe acute respiratory syndrome-related coronavirus,29798,USA,Homo sapiens
MT444632,Severe acute respiratory syndrome-related coronavirus,29838,USA,Homo sapiens
MT444633,Severe acute respiratory syndrome-related coronavirus,29848,USA,Homo sapiens
MT444634,Severe acute respiratory syndrome-related coronavirus,29797,USA,Homo sapiens
MT444635,Severe acute respiratory syndrome-related coronavirus,29847,USA,Homo sapiens
MT446312,Severe acute respiratory syndrome-related coronavirus,29879,"China: Guangdong, Guangzhou",Homo sapiens
MT446339,Severe acute respiratory syndrome-related coronavirus,29777,"USA: MARINGOUIN, LA",Homo sapiens
MT446340,Severe acute respiratory syndrome-related coronavirus,29776,"USA: KENNER, LA",Homo sapiens
MT446341,Severe acute respiratory syndrome-related coronavirus,29776,"USA: KILLONA, LA",Homo sapiens
MT446342,Severe acute respiratory syndrome-related coronavirus,29777,"USA: SAINT ROSE, LA",Homo sapiens
MT446343,Severe acute respiratory syndrome-related coronavirus,29796,"USA: New Orleans, LA",Homo sapiens
MT446344,Severe acute respiratory syndrome-related coronavirus,29777,"USA: LOCKPORT, LA",Homo sapiens
MT446345,Severe acute respiratory syndrome-related coronavirus,29777,"USA: NEW ORLEANS, LA",Homo sapiens
MT446346,Severe acute respiratory syndrome-related coronavirus,29777,"USA: LULING, LA",Homo sapiens
MT446347,Severe acute respiratory syndrome-related coronavirus,29777,"USA: RACELAND, LA",Homo sapiens
MT446348,Severe acute respiratory syndrome-related coronavirus,29777,"USA: New Orleans, LA",Homo sapiens
MT446349,Severe acute respiratory syndrome-related coronavirus,29776,"USA: KENNER, LA",Homo sapiens
MT446350,Severe acute respiratory syndrome-related coronavirus,29807,"USA: New Orleans, LA",Homo sapiens
MT446351,Severe acute respiratory syndrome-related coronavirus,29486,"USA: GRAY, LA",Homo sapiens
MT446352,Severe acute respiratory syndrome-related coronavirus,29777,"USA: GHEENS, LA",Homo sapiens
MT446353,Severe acute respiratory syndrome-related coronavirus,29777,"USA: THIBODAUX,LA",Homo sapiens
MT446354,Severe acute respiratory syndrome-related coronavirus,29776,"USA: MARINGOUIN, LA",Homo sapiens
MT446355,Severe acute respiratory syndrome-related coronavirus,29807,"USA: Slidell, LA",Homo sapiens
MT446356,Severe acute respiratory syndrome-related coronavirus,29777,"USA: Lacombe, LA",Homo sapiens
MT446357,Severe acute respiratory syndrome-related coronavirus,29777,"USA: HOUMA, LA",Homo sapiens
MT446358,Severe acute respiratory syndrome-related coronavirus,29776,"USA: RACELAND, LA",Homo sapiens
MT446359,Severe acute respiratory syndrome-related coronavirus,29776,"USA: SLIDELL, LA",Homo sapiens
MT446360,Severe acute respiratory syndrome-related coronavirus,29486,USA: SLIDELL LA,Homo sapiens
MT446361,Severe acute respiratory syndrome-related coronavirus,29487,"USA: DELACROIX, LA",Homo sapiens
MT447154,Severe acute respiratory syndrome-related coronavirus,29829,Thailand,Homo sapiens
MT447155,Severe acute respiratory syndrome-related coronavirus,29805,Thailand,Homo sapiens
MT447156,Severe acute respiratory syndrome-related coronavirus,29810,Thailand,Homo sapiens
MT447157,Severe acute respiratory syndrome-related coronavirus,29824,Thailand,Homo sapiens
MT447158,Severe acute respiratory syndrome-related coronavirus,29827,Thailand,Homo sapiens
MT447159,Severe acute respiratory syndrome-related coronavirus,29834,Thailand,Homo sapiens
MT447160,Severe acute respiratory syndrome-related coronavirus,29707,Thailand,Homo sapiens
MT447161,Severe acute respiratory syndrome-related coronavirus,29815,Thailand,Homo sapiens
MT447162,Severe acute respiratory syndrome-related coronavirus,29816,Thailand,Homo sapiens
MT447163,Severe acute respiratory syndrome-related coronavirus,29833,Thailand,Homo sapiens
MT447164,Severe acute respiratory syndrome-related coronavirus,29694,Thailand,Homo sapiens
MT447165,Severe acute respiratory syndrome-related coronavirus,29671,Thailand,Homo sapiens
MT447166,Severe acute respiratory syndrome-related coronavirus,29820,Thailand,Homo sapiens
MT447167,Severe acute respiratory syndrome-related coronavirus,29710,Thailand,Homo sapiens
MT447168,Severe acute respiratory syndrome-related coronavirus,29695,Thailand,Homo sapiens
MT447169,Severe acute respiratory syndrome-related coronavirus,29798,Thailand,Homo sapiens
MT447170,Severe acute respiratory syndrome-related coronavirus,29337,Thailand,Homo sapiens
MT447171,Severe acute respiratory syndrome-related coronavirus,29838,Thailand,Homo sapiens
MT447172,Severe acute respiratory syndrome-related coronavirus,29823,Thailand,Homo sapiens
MT447173,Severe acute respiratory syndrome-related coronavirus,29829,Thailand,Homo sapiens
MT447174,Severe acute respiratory syndrome-related coronavirus,29837,Thailand,Homo sapiens
MT447175,Severe acute respiratory syndrome-related coronavirus,29828,Thailand,Homo sapiens
MT447176,Severe acute respiratory syndrome-related coronavirus,29840,Thailand,Homo sapiens
MT447177,Severe acute respiratory syndrome-related coronavirus,29793,Iran,Homo sapiens
MT447188,Severe acute respiratory syndrome-related coronavirus,835,Uzbekistan,Homo sapiens
MT447189,Severe acute respiratory syndrome-related coronavirus,710,Uzbekistan,Homo sapiens
MT438718,Severe acute respiratory syndrome-related coronavirus,29864,USA: CA,Homo sapiens
MT438719,Severe acute respiratory syndrome-related coronavirus,29870,USA: CA,Homo sapiens
MT438720,Severe acute respiratory syndrome-related coronavirus,29861,USA: CA,Homo sapiens
MT438721,Severe acute respiratory syndrome-related coronavirus,29858,USA: CA,Homo sapiens
MT438722,Severe acute respiratory syndrome-related coronavirus,29903,USA: CA,Homo sapiens
MT438723,Severe acute respiratory syndrome-related coronavirus,29859,USA: CA,Homo sapiens
MT438724,Severe acute respiratory syndrome-related coronavirus,29871,USA: CA,Homo sapiens
MT438725,Severe acute respiratory syndrome-related coronavirus,29862,USA: CA,Homo sapiens
MT438726,Severe acute respiratory syndrome-related coronavirus,29856,USA: CA,Homo sapiens
MT438727,Severe acute respiratory syndrome-related coronavirus,29871,USA: CA,Homo sapiens
MT438728,Severe acute respiratory syndrome-related coronavirus,29902,USA: CA,Homo sapiens
MT438729,Severe acute respiratory syndrome-related coronavirus,29863,USA: CA,Homo sapiens
MT438730,Severe acute respiratory syndrome-related coronavirus,29876,USA: CA,Homo sapiens
MT438731,Severe acute respiratory syndrome-related coronavirus,29870,USA: CA,Homo sapiens
MT438732,Severe acute respiratory syndrome-related coronavirus,29870,USA: CA,Homo sapiens
MT438733,Severe acute respiratory syndrome-related coronavirus,29862,USA: CA,Homo sapiens
MT438734,Severe acute respiratory syndrome-related coronavirus,29863,USA: CA,Homo sapiens
MT438735,Severe acute respiratory syndrome-related coronavirus,29862,USA: CA,Homo sapiens
MT438736,Severe acute respiratory syndrome-related coronavirus,29862,USA: CA,Homo sapiens
MT438737,Severe acute respiratory syndrome-related coronavirus,29872,USA: CA,Homo sapiens
MT438738,Severe acute respiratory syndrome-related coronavirus,29874,USA: CA,Homo sapiens
MT438739,Severe acute respiratory syndrome-related coronavirus,29870,USA: CA,Homo sapiens
MT438740,Severe acute respiratory syndrome-related coronavirus,29862,USA: CA,Homo sapiens
MT438741,Severe acute respiratory syndrome-related coronavirus,29888,USA: CA,Homo sapiens
MT438742,Severe acute respiratory syndrome-related coronavirus,29903,USA: CA,Homo sapiens
MT438743,Severe acute respiratory syndrome-related coronavirus,29874,USA: CA,Homo sapiens
MT438744,Severe acute respiratory syndrome-related coronavirus,29863,USA: CA,Homo sapiens
MT438745,Severe acute respiratory syndrome-related coronavirus,29839,USA: CA,Homo sapiens
MT438746,Severe acute respiratory syndrome-related coronavirus,29885,USA: CA,Homo sapiens
MT438747,Severe acute respiratory syndrome-related coronavirus,29871,USA: CA,Homo sapiens
MT438748,Severe acute respiratory syndrome-related coronavirus,29874,USA: CA,Homo sapiens
MT438749,Severe acute respiratory syndrome-related coronavirus,29862,USA: CA,Homo sapiens
MT438750,Severe acute respiratory syndrome-related coronavirus,29862,USA: CA,Homo sapiens
MT438751,Severe acute respiratory syndrome-related coronavirus,29900,USA: CA,Homo sapiens
MT438752,Severe acute respiratory syndrome-related coronavirus,29858,USA: CA,Homo sapiens
MT438753,Severe acute respiratory syndrome-related coronavirus,29874,USA: CA,Homo sapiens
MT438754,Severe acute respiratory syndrome-related coronavirus,29873,USA: CA,Homo sapiens
MT438755,Severe acute respiratory syndrome-related coronavirus,29861,USA: CA,Homo sapiens
MT438756,Severe acute respiratory syndrome-related coronavirus,29900,USA: CA,Homo sapiens
MT438757,Severe acute respiratory syndrome-related coronavirus,29874,USA: CA,Homo sapiens
MT438758,Severe acute respiratory syndrome-related coronavirus,29903,USA: CA,Homo sapiens
MT438759,Severe acute respiratory syndrome-related coronavirus,29847,USA: CA,Homo sapiens
MT438760,Severe acute respiratory syndrome-related coronavirus,29874,USA: CA,Homo sapiens
MT439230,Severe acute respiratory syndrome-related coronavirus,29813,USA: MI,Homo sapiens
MT439231,Severe acute respiratory syndrome-related coronavirus,29813,USA: MI,Homo sapiens
MT439232,Severe acute respiratory syndrome-related coronavirus,29816,USA: MI,Homo sapiens
MT439233,Severe acute respiratory syndrome-related coronavirus,29813,USA: MI,Homo sapiens
MT439234,Severe acute respiratory syndrome-related coronavirus,29823,USA: MI,Homo sapiens
MT439235,Severe acute respiratory syndrome-related coronavirus,29783,USA: MI,Homo sapiens
MT439236,Severe acute respiratory syndrome-related coronavirus,29803,USA: MI,Homo sapiens
MT439237,Severe acute respiratory syndrome-related coronavirus,29844,USA: MI,Homo sapiens
MT439238,Severe acute respiratory syndrome-related coronavirus,29802,USA: MI,Homo sapiens
MT439239,Severe acute respiratory syndrome-related coronavirus,29813,USA: MI,Homo sapiens
MT439240,Severe acute respiratory syndrome-related coronavirus,29864,USA: MI,Homo sapiens
MT439241,Severe acute respiratory syndrome-related coronavirus,29863,USA: MI,Homo sapiens
MT439242,Severe acute respiratory syndrome-related coronavirus,29823,USA: MI,Homo sapiens
MT439243,Severe acute respiratory syndrome-related coronavirus,29776,USA: MI,Homo sapiens
MT439244,Severe acute respiratory syndrome-related coronavirus,29807,USA: MI,Homo sapiens
